miesiąc,efekt,blad_standardowy,dni
styczeń,-121.4872110072484,75.9688188598407,64
luty,86.42223248392713,46.84450995674384,56
marzec,-58.0209261110645,58.358477259053615,62
kwiecień,-186.38113118298182,42.381272976945645,60
maj,-238.02656973218257,41.09164808852612,62
czerwiec,342.9760621304269,51.61432356847724,60
lipiec,320.95299982502587,47.64699873481918,62
sierpień,499.07816142029804,47.52347613888674,62
wrzesień,-284.8133013636519,47.4754509738868,60
październik,-213.56528004716412,53.157527222074364,62
listopad,-237.49010039828656,36.82552677115342,60
grudzień,90.84040068116452,59.90733150041429,62
