produkt,model,MAE,RMSE,MAPE,Bias,MAE epidemia,MAPE epidemia,Bias epidemia,MAE bez epidemii,MAPE bez epidemii,Bias bez epidemii
P0007,naive,149.35714285714286,190.00507512018876,30.745000309092557,-142.85714285714286,46.833333333333336,14.69374636631998,-16.5,177.3181818181818,35.122615020757806,-177.3181818181818
P0007,seasonal naive,135.92857142857142,179.36355737519736,27.57115065151115,-128.0,36.166666666666664,11.65977145546334,0.8333333333333334,163.13636363636363,31.910617704978733,-163.13636363636363
P0007,średnia 28 dni,112.98724489795919,132.483927596628,31.905450055060953,43.107142857142875,169.46428571428575,63.98355934284058,169.46428571428575,97.58441558441558,23.15687479475742,8.646103896103904
P0007,LightGBM,101.46421208200682,120.97176047471646,26.77790222612805,70.30327809014884,52.77348032381042,19.328722107227666,34.23279417040152,114.74350256151493,28.80949680400997,80.14068279553445
P0013,naive,161.89285714285714,202.44637738000085,31.56356438798386,-159.25,42.666666666666664,12.438671891739151,-30.333333333333332,194.4090909090909,36.779444159686975,-194.4090909090909
P0013,seasonal naive,173.03571428571428,217.26407565777774,34.257508041083675,-169.82142857142858,57.666666666666664,17.26308470210909,-42.666666666666664,204.5,38.89235076989493,-204.5
P0013,średnia 28 dni,100.66836734693878,125.2101295048138,22.801222209390573,-7.321428571428555,121.59523809523812,40.239790965691085,121.59523809523812,94.96103896103897,18.0452489122177,-42.48051948051946
P0013,LightGBM,69.68219588065345,87.62154256200786,16.21866835038472,29.640525380983085,29.667725862757408,9.140180301534622,4.151513238964744,80.59523315826146,18.1491650909802,36.59207414698808
P0004,naive,190.53571428571428,218.78454829221502,37.418868561187004,-175.60714285714286,60.166666666666664,28.74090541605086,9.5,226.0909090909091,39.78558578258776,-226.0909090909091
P0004,seasonal naive,207.75,234.07988563125807,42.49308533502167,-189.60714285714286,91.5,42.41103973168832,-6.833333333333333,239.45454545454547,42.515461408658034,-239.45454545454547
P0004,średnia 28 dni,103.62244897959184,131.01921400609723,27.402337476371834,-11.71428571428569,173.39285714285714,75.36136772737014,173.39285714285714,84.59415584415584,14.322601953372303,-62.19805194805194
P0004,LightGBM,60.706262006144634,77.94236250295457,15.57601373598514,0.5853643445234878,74.94134239588986,33.61157807183548,28.75072315809216,56.82396735439593,10.657223462571409,-7.096097150086151
