date,units_sold,epidemic
2022-01-01,8601,0
2022-01-02,7684,0
2022-01-03,5965,0
2022-01-04,7859,0
2022-01-05,9621,0
2022-01-06,9503,0
2022-01-07,10045,0
2022-01-08,9980,0
2022-01-09,9661,0
2022-01-10,9928,0
2022-01-11,9957,0
2022-01-12,9279,0
2022-01-13,9904,0
2022-01-14,9507,0
2022-01-15,9566,0
2022-01-16,9218,0
2022-01-17,10074,0
2022-01-18,9444,0
2022-01-19,8689,0
2022-01-20,9489,0
2022-01-21,9905,0
2022-01-22,9908,0
2022-01-23,8721,0
2022-01-24,8822,0
2022-01-25,8434,0
2022-01-26,9271,0
2022-01-27,9276,0
2022-01-28,8945,0
2022-01-29,9655,0
2022-01-30,7992,0
2022-01-31,8592,0
2022-02-01,9599,0
2022-02-02,10746,0
2022-02-03,10531,0
2022-02-04,9757,0
2022-02-05,10085,0
2022-02-06,9298,0
2022-02-07,9472,0
2022-02-08,10074,0
2022-02-09,10699,0
2022-02-10,9761,0
2022-02-11,9615,0
2022-02-12,9918,0
2022-02-13,8646,0
2022-02-14,10173,0
2022-02-15,9453,0
2022-02-16,9800,0
2022-02-17,9428,0
2022-02-18,10017,0
2022-02-19,10253,0
2022-02-20,9483,0
2022-02-21,9242,0
2022-02-22,8861,0
2022-02-23,9999,0
2022-02-24,8940,0
2022-02-25,8900,0
2022-02-26,9367,0
2022-02-27,10040,0
2022-02-28,8951,0
2022-03-01,10050,0
2022-03-02,8775,0
2022-03-03,10192,0
2022-03-04,10323,0
2022-03-05,10557,0
2022-03-06,9349,0
2022-03-07,9916,0
2022-03-08,10365,0
2022-03-09,9960,0
2022-03-10,9335,0
2022-03-11,9495,0
2022-03-12,11518,0
2022-03-13,9555,0
2022-03-14,8768,0
2022-03-15,10246,0
2022-03-16,9999,0
2022-03-17,9433,0
2022-03-18,9402,0
2022-03-19,8776,0
2022-03-20,10568,0
2022-03-21,9938,0
2022-03-22,8670,0
2022-03-23,9906,0
2022-03-24,9808,0
2022-03-25,10629,0
2022-03-26,10576,0
2022-03-27,11169,0
2022-03-28,9288,0
2022-03-29,9388,0
2022-03-30,8982,0
2022-03-31,8816,0
2022-04-01,10273,0
2022-04-02,9787,0
2022-04-03,9379,0
2022-04-04,8970,0
2022-04-05,9703,0
2022-04-06,10275,0
2022-04-07,10231,0
2022-04-08,10259,0
2022-04-09,8893,0
2022-04-10,9237,0
2022-04-11,9946,0
2022-04-12,10528,0
2022-04-13,10028,0
2022-04-14,9226,0
2022-04-15,9632,0
2022-04-16,8750,0
2022-04-17,10089,0
2022-04-18,10083,0
2022-04-19,10136,0
2022-04-20,10467,0
2022-04-21,8888,0
2022-04-22,8656,0
2022-04-23,6010,1
2022-04-24,6398,1
2022-04-25,6842,1
2022-04-26,5602,1
2022-04-27,5782,1
2022-04-28,5854,1
2022-04-29,5578,1
2022-04-30,5310,1
2022-05-01,6289,1
2022-05-02,5816,1
2022-05-03,5941,1
2022-05-04,5765,1
2022-05-05,6417,1
2022-05-06,6393,1
2022-05-07,6278,1
2022-05-08,5980,1
2022-05-09,5833,1
2022-05-10,6205,1
2022-05-11,5906,1
2022-05-12,5649,1
2022-05-13,5765,1
2022-05-14,6192,1
2022-05-15,5998,1
2022-05-16,6130,1
2022-05-17,6411,1
2022-05-18,5242,1
2022-05-19,6075,1
2022-05-20,6745,1
2022-05-21,6038,1
2022-05-22,5981,1
2022-05-23,5471,1
2022-05-24,6095,1
2022-05-25,6510,1
2022-05-26,8697,0
2022-05-27,9571,0
2022-05-28,9424,0
2022-05-29,8845,0
2022-05-30,9196,0
2022-05-31,9091,0
2022-06-01,9544,0
2022-06-02,10039,0
2022-06-03,9818,0
2022-06-04,9170,0
2022-06-05,9145,0
2022-06-06,9561,0
