date,product,actual,naive,seasonal naive,średnia 28 dni,LightGBM
2024-01-03,P0007,294,276.0,289.0,461.9642857142857,355.1750304144795
2024-01-04,P0007,416,276.0,315.0,461.9642857142857,360.3779415397733
2024-01-05,P0007,245,276.0,279.0,461.9642857142857,339.65660813338803
2024-01-06,P0007,308,276.0,316.0,461.9642857142857,308.7908765968896
2024-01-07,P0007,230,276.0,252.0,461.9642857142857,287.5438643341129
2024-01-08,P0007,262,276.0,309.0,461.9642857142857,308.85244400376575
2024-01-09,P0007,427,276.0,276.0,461.9642857142857,451.484394390714
2024-01-10,P0007,534,276.0,289.0,461.9642857142857,590.9648563428635
2024-01-11,P0007,365,276.0,315.0,461.9642857142857,484.1569419290064
2024-01-12,P0007,578,276.0,279.0,461.9642857142857,497.23869998667465
2024-01-13,P0007,586,276.0,316.0,461.9642857142857,659.5386924348879
2024-01-14,P0007,622,276.0,252.0,461.9642857142857,483.06096397061225
2024-01-15,P0007,462,276.0,309.0,461.9642857142857,523.1297865855047
2024-01-16,P0007,731,276.0,276.0,461.9642857142857,576.0659338669719
2024-01-17,P0007,382,276.0,289.0,461.9642857142857,603.0931634927509
2024-01-18,P0007,333,276.0,315.0,461.9642857142857,516.313572952967
2024-01-19,P0007,294,276.0,279.0,461.9642857142857,462.94804056927416
2024-01-20,P0007,461,276.0,316.0,461.9642857142857,701.4839935297248
2024-01-21,P0007,414,276.0,252.0,461.9642857142857,477.9167064707922
2024-01-22,P0007,332,276.0,309.0,461.9642857142857,525.9083252701664
2024-01-23,P0007,283,276.0,276.0,461.9642857142857,469.58761318571015
2024-01-24,P0007,362,276.0,289.0,461.9642857142857,480.66293539147114
2024-01-25,P0007,579,276.0,315.0,461.9642857142857,675.1150050827358
2024-01-26,P0007,395,276.0,279.0,461.9642857142857,500.68175982750387
2024-01-27,P0007,542,276.0,316.0,461.9642857142857,587.1623351510807
2024-01-28,P0007,339,276.0,252.0,461.9642857142857,510.2648566913915
2024-01-29,P0007,502,276.0,309.0,461.9642857142857,496.0033847499558
2024-01-30,P0007,450,276.0,276.0,461.9642857142857,463.3130596289981
2024-01-03,P0013,297,292.0,336.0,443.92857142857144,287.1651030559953
