date,model,forecast,lower,upper
2024-01-03,ARIMAX,6032.699232590549,5478.310298802095,6524.707951147191
2024-01-04,ARIMAX,5915.815884518365,5361.4269507299105,6407.824603075007
2024-01-05,ARIMAX,7376.786589044856,6822.397655256401,7868.795307601497
2024-01-06,ARIMAX,6239.857299662244,5685.4683658737895,6731.866018218886
2024-01-07,ARIMAX,5915.815884518365,5361.4269507299105,6407.824603075007
2024-01-08,ARIMAX,6546.078649210163,5991.689715421709,7038.087367766805
2024-01-09,ARIMAX,9030.548064514936,8476.15913072648,9522.556783071577
2024-01-10,ARIMAX,8997.526970356193,8443.138036567738,9489.535688912834
2024-01-11,ARIMAX,9543.92748113455,8989.538547346094,10035.93619969119
2024-01-12,ARIMAX,9416.23738623794,8861.848452449485,9908.246104794582
2024-01-13,ARIMAX,10079.52124508848,9525.132311300024,10571.52996364512
2024-01-14,ARIMAX,8858.729701792425,8304.340768003969,9350.738420349066
2024-01-15,ARIMAX,9383.216292079198,8828.827358290742,9875.225010635839
2024-01-16,ARIMAX,9347.876587730014,8793.487653941558,9839.885306286655
2024-01-17,ARIMAX,9281.83439941253,8727.445465624074,9773.84311796917
2024-01-18,ARIMAX,9856.86172261127,9302.472788822814,10348.87044116791
2024-01-19,ARIMAX,8880.64362228401,8326.254688495554,9372.65234084065
2024-01-20,ARIMAX,10687.569662445962,10133.180728657506,11179.578381002602
2024-01-21,ARIMAX,9314.855493571273,8760.466559782817,9806.864212127914
2024-01-22,ARIMAX,10068.41407142132,9514.025137632865,10560.422789977962
2024-01-23,ARIMAX,8891.750795951168,8337.361862162712,9383.759514507808
2024-01-24,ARIMAX,9872.363178016789,9317.974244228333,10364.37189657343
2024-01-25,ARIMAX,10202.817058246732,9648.428124458276,10694.825776803373
2024-01-26,ARIMAX,9689.437641627115,9135.04870783866,10181.446360183756
2024-01-27,ARIMAX,9693.831923365477,9139.44298957702,10185.840641922117
2024-01-28,ARIMAX,9806.320989699305,9251.93205591085,10298.329708255946
2024-01-29,ARIMAX,8708.8252595615,8154.436325773045,9200.83397811814
2024-01-30,ARIMAX,8351.762750258878,7797.373816470424,8843.77146881552
2024-01-03,LightGBM,5995.646270568879,5329.80281379831,6546.51307541438
2024-01-04,LightGBM,6024.724006277903,5358.880549507334,6575.590811123404
2024-01-05,LightGBM,6935.2810708078605,6269.4376140372915,7486.147875653362
2024-01-06,LightGBM,6043.9482374031,5378.104780632531,6594.8150422486015
2024-01-07,LightGBM,6012.910880937574,5347.067424167005,6563.777685783075
2024-01-08,LightGBM,6320.5771521613815,5654.7336953908125,6871.443957006883
2024-01-09,LightGBM,8988.168654000427,8322.325197229857,9539.035458845927
2024-01-10,LightGBM,8985.550452636071,8319.706995865501,9536.417257481571
2024-01-11,LightGBM,9504.455275650607,8838.61181888004,10055.322080496107
2024-01-12,LightGBM,9472.839356931234,8806.995900160666,10023.706161776734
2024-01-13,LightGBM,10154.045200815248,9488.20174404468,10704.912005660748
2024-01-14,LightGBM,8845.257177690444,8179.413720919875,9396.123982535944
2024-01-15,LightGBM,9441.196455630146,8775.352998859576,9992.063260475647
2024-01-16,LightGBM,9356.013928314547,8690.170471543977,9906.880733160047
2024-01-17,LightGBM,9316.014045332557,8650.170588561989,9866.880850178057
2024-01-18,LightGBM,9876.795846088538,9210.952389317968,10427.662650934039
2024-01-19,LightGBM,8811.897764716714,8146.054307946145,9362.764569562214
2024-01-20,LightGBM,10927.129979471743,10261.286522701175,11477.996784317244
2024-01-21,LightGBM,9381.249199208763,8715.405742438194,9932.116004054264
2024-01-22,LightGBM,10084.779676833938,9418.93622006337,10635.646481679438
2024-01-23,LightGBM,8879.929144308184,8214.085687537616,9430.795949153684
2024-01-24,LightGBM,9857.000931034218,9191.157474263648,10407.867735879718
2024-01-25,LightGBM,10231.260383316445,9565.416926545877,10782.127188161945
2024-01-26,LightGBM,9670.469514933777,9004.626058163209,10221.336319779277
2024-01-27,LightGBM,9612.164261415037,8946.320804644467,10163.031066260537
2024-01-28,LightGBM,9838.40453598746,9172.561079216892,10389.27134083296
2024-01-29,LightGBM,8686.267239708299,8020.42378293773,9237.134044553799
2024-01-30,LightGBM,8264.89471578059,7599.051259010022,8815.76152062609
2024-01-03,Ridge,5947.844755225618,5486.96846017259,6474.391188823288
2024-01-04,Ridge,5826.180766264739,5365.304471211711,6352.727199862408
2024-01-05,Ridge,7273.996754270527,6813.120459217499,7800.543187868197
2024-01-06,Ridge,6179.167601480351,5718.2913064273225,6705.71403507802
2024-01-07,Ridge,5827.090006454793,5366.213711401765,6353.636440052463
2024-01-08,Ridge,6460.987779334497,6000.111484281469,6987.534212932166
2024-01-09,Ridge,8938.868210007788,8477.991914954759,9465.414643605456
2024-01-10,Ridge,8922.341046185113,8461.464751132084,9448.887479782781
2024-01-11,Ridge,9451.282915407292,8990.406620354262,9977.82934900496
2024-01-12,Ridge,9355.221993690642,8894.345698637613,9881.76842728831
2024-01-13,Ridge,10006.205265257517,9545.328970204488,10532.751698855185
2024-01-14,Ridge,8806.582808689102,8345.706513636072,9333.12924228677
2024-01-15,Ridge,9339.968976036997,8879.092680983968,9866.515409634665
2024-01-16,Ridge,9244.804500640648,8783.92820558762,9771.350934238317
2024-01-17,Ridge,9211.69382770302,8750.817532649991,9738.240261300689
2024-01-18,Ridge,9786.772043946445,9325.895748893416,10313.318477544113
2024-01-19,Ridge,8805.915746539062,8345.039451486033,9332.46218013673
2024-01-20,Ridge,10602.469910554348,10141.593615501319,11129.016344152016
2024-01-21,Ridge,9232.093397823715,8771.217102770686,9758.639831421384
2024-01-22,Ridge,9992.081006868451,9531.204711815422,10518.62744046612
2024-01-23,Ridge,8831.094516361418,8370.218221308389,9357.640949959086
2024-01-24,Ridge,9785.08792622913,9324.2116311761,10311.634359826798
2024-01-25,Ridge,10142.140722119855,9681.264427066826,10668.687155717524
2024-01-26,Ridge,9631.828490765847,9170.952195712818,10158.374924363516
2024-01-27,Ridge,9604.318916888224,9143.442621835195,10130.865350485892
2024-01-28,Ridge,9756.56272182874,9295.686426775712,10283.10915542641
2024-01-29,Ridge,8683.253500053901,8222.377205000872,9209.79993365157
2024-01-30,Ridge,8315.480885307472,7854.604590254444,8842.02731890514
2024-01-03,Ensemble zwykła średnia,5992.063419461682,5482.474908795306,6520.408480569941
2024-01-04,Ensemble zwykła średnia,5922.240219020336,5412.651708353959,6450.585280128595
2024-01-05,Ensemble zwykła średnia,7195.354804707748,6685.766294041372,7723.699865816007
2024-01-06,Ensemble zwykła średnia,6154.324379515233,5644.735868848857,6682.669440623492
2024-01-07,Ensemble zwykła średnia,5918.605590636911,5409.017079970535,6446.95065174517
2024-01-08,Ensemble zwykła średnia,6442.547860235347,5932.9593495689705,6970.892921343606
2024-01-09,Ensemble zwykła średnia,8985.861642841051,8476.273132174674,9514.20670394931
2024-01-10,Ensemble zwykła średnia,8968.472823059126,8458.884312392749,9496.817884167385
2024-01-11,Ensemble zwykła średnia,9499.888557397482,8990.300046731105,10028.233618505741
2024-01-12,Ensemble zwykła średnia,9414.76624561994,8905.177734953562,9943.111306728199
2024-01-13,Ensemble zwykła średnia,10079.923903720415,9570.335393054038,10608.268964828674
2024-01-14,Ensemble zwykła średnia,8836.85656272399,8327.268052057612,9365.201623832249
2024-01-15,Ensemble zwykła średnia,9388.12724124878,8878.538730582402,9916.472302357039
2024-01-16,Ensemble zwykła średnia,9316.231672228403,8806.643161562026,9844.576733336662
2024-01-17,Ensemble zwykła średnia,9269.84742414937,8760.258913482992,9798.192485257629
2024-01-18,Ensemble zwykła średnia,9840.143204215416,9330.554693549038,10368.488265323675
2024-01-19,Ensemble zwykła średnia,8832.819044513262,8323.230533846885,9361.164105621521
2024-01-20,Ensemble zwykła średnia,10739.056517490686,10229.468006824309,11267.401578598945
2024-01-21,Ensemble zwykła średnia,9309.399363534583,8799.810852868206,9837.744424642842
2024-01-22,Ensemble zwykła średnia,10048.42491837457,9538.836407708193,10576.76997948283
2024-01-23,Ensemble zwykła średnia,8867.591485540257,8358.00297487388,9395.936546648516
2024-01-24,Ensemble zwykła średnia,9838.150678426711,9328.562167760334,10366.49573953497
2024-01-25,Ensemble zwykła średnia,10192.072721227678,9682.4842105613,10720.417782335937
2024-01-26,Ensemble zwykła średnia,9663.911882442248,9154.32337177587,10192.256943550507
2024-01-27,Ensemble zwykła średnia,9636.771700556244,9127.183189889867,10165.116761664503
2024-01-28,Ensemble zwykła średnia,9800.429415838502,9290.840905172125,10328.77447694676
2024-01-29,Ensemble zwykła średnia,8692.781999774566,8183.19348910819,9221.127060882825
2024-01-30,Ensemble zwykła średnia,8310.712783782314,7801.124273115937,8839.057844890573
2024-01-03,Ensemble ważona średnia,5973.838526101177,5475.318894656493,6488.170222237825
2024-01-04,Ensemble ważona średnia,5868.443869829462,5369.924238384778,6382.77556596611
2024-01-05,Ensemble ważona średnia,7265.822644617842,6767.303013173158,7780.1543407544905
2024-01-06,Ensemble ważona średnia,6180.818089618099,5682.298458173415,6695.149785754747
2024-01-07,Ensemble ważona średnia,5867.853563418965,5369.333931974281,6382.185259555613
2024-01-08,Ensemble ważona średnia,6468.219434086102,5969.6998026414185,6982.5511302227505
2024-01-09,Ensemble ważona średnia,8966.718218033839,8468.198586589155,9481.049914170486
2024-01-10,Ensemble ważona średnia,8947.458467872979,8448.938836428295,9461.790164009626
2024-01-11,Ensemble ważona średnia,9479.76129286344,8981.241661418757,9994.092989000088
2024-01-12,Ensemble ważona średnia,9382.237578151526,8883.717946706842,9896.569274288173
2024-01-13,Ensemble ważona średnia,10039.31825377103,9540.798622326347,10553.649949907678
2024-01-14,Ensemble ważona średnia,8823.486968865067,8324.967337420383,9337.818665001714
2024-01-15,Ensemble ważona średnia,9360.90355300686,8862.383921562176,9875.235249143507
2024-01-16,Ensemble ważona średnia,9281.69346518038,8783.173833735696,9796.025161317028
2024-01-17,Ensemble ważona średnia,9239.660992393352,8741.141360948668,9753.99268853
2024-01-18,Ensemble ważona średnia,9813.29684382686,9314.777212382176,10327.628539963507
2024-01-19,Ensemble ważona średnia,8825.195917293064,8326.67628584838,9339.527613429711
2024-01-20,Ensemble ważona średnia,10656.21085541899,10157.691223974307,11170.542551555638
2024-01-21,Ensemble ważona średnia,9267.69950189911,8769.179870454425,9782.031198035756
2024-01-22,Ensemble ważona średnia,10020.434140003215,9521.914508558531,10534.765836139863
2024-01-23,Ensemble ważona średnia,8851.142049053533,8352.622417608849,9365.47374519018
2024-01-24,Ensemble ważona średnia,9814.098039656552,9315.578408211868,10328.4297357932
2024-01-25,Ensemble ważona średnia,10166.221772271234,9667.70214082655,10680.553468407881
2024-01-26,Ensemble ważona średnia,9650.09488089796,9151.575249453275,10164.426577034606
2024-01-27,Ensemble ważona średnia,9627.481702960218,9128.962071515534,10141.813399096865
2024-01-28,Ensemble ważona średnia,9777.186470212251,9278.666838767567,10291.518166348898
2024-01-29,Ensemble ważona średnia,8689.94781389624,8191.4281824515565,9204.279510032888
2024-01-30,Ensemble ważona średnia,8319.492734592635,7820.973103147951,8833.824430729283
