date,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020
2022-01-01,473,490,640,509,531,352,410,451,480,510,334,439,497,332,406,404,338,335,419,251
2022-01-02,355,473,431,258,351,534,401,349,391,479,470,512,213,322,284,290,293,582,354,342
2022-01-03,357,290,264,208,299,430,106,420,417,260,224,482,61,258,239,213,308,449,319,361
2022-01-04,348,535,527,375,381,287,236,567,645,308,353,207,480,374,215,540,330,523,282,346
2022-01-05,653,485,546,431,459,455,441,458,644,615,657,495,302,363,364,640,363,455,406,389
2022-01-06,483,568,469,465,334,677,555,436,702,377,615,355,654,396,472,316,370,374,390,495
2022-01-07,450,417,478,440,391,467,622,434,522,514,443,430,602,666,374,560,510,406,655,664
2022-01-08,557,534,642,378,348,547,789,539,478,474,538,373,307,445,651,516,443,492,301,628
2022-01-09,454,562,480,493,386,527,374,365,509,713,449,384,559,505,386,429,651,381,340,714
2022-01-10,600,718,502,267,431,377,599,522,641,468,349,436,622,437,497,491,465,519,445,542
2022-01-11,604,351,387,280,579,667,555,472,698,508,470,398,479,552,635,554,467,396,307,598
2022-01-12,389,555,491,487,353,463,408,515,652,485,611,277,652,310,544,572,424,393,332,366
2022-01-13,384,579,662,465,731,429,595,541,417,396,444,241,564,415,523,417,432,481,472,716
2022-01-14,432,499,472,636,482,341,657,362,720,429,495,454,594,350,446,598,359,404,426,351
2022-01-15,745,563,573,544,554,381,393,342,434,503,433,260,371,425,404,723,430,514,497,477
2022-01-16,428,530,478,471,618,570,473,383,461,541,306,360,533,288,698,227,509,449,488,407
2022-01-17,546,663,566,609,429,498,672,387,517,609,622,213,403,389,605,359,507,406,692,382
2022-01-18,410,655,408,545,620,586,426,543,550,548,663,270,359,472,458,425,437,361,404,304
2022-01-19,460,378,403,392,433,566,381,572,498,481,562,292,408,348,512,337,448,435,376,407
2022-01-20,350,523,363,441,518,647,499,508,435,544,482,237,566,438,577,562,540,449,450,360
2022-01-21,463,363,575,531,591,371,732,524,498,432,348,454,551,477,486,465,599,558,604,283
2022-01-22,426,623,583,494,588,396,520,451,400,551,451,415,560,456,749,468,583,411,304,479
2022-01-23,499,491,450,429,331,475,687,382,272,593,345,413,404,452,614,250,471,373,440,350
2022-01-24,490,585,372,397,432,304,402,301,409,445,671,322,500,585,414,455,447,359,558,374
2022-01-25,384,363,579,577,411,412,527,418,312,381,384,487,572,385,280,372,382,383,600,225
2022-01-26,608,455,557,482,392,646,533,324,351,366,567,502,364,563,324,362,344,583,500,448
2022-01-27,443,461,432,396,329,491,620,571,295,427,392,428,606,454,547,681,348,512,445,398
2022-01-28,564,470,341,339,529,432,513,466,437,601,498,354,458,334,387,438,449,546,434,355
2022-01-29,487,453,508,494,490,469,545,430,369,552,569,460,620,470,474,507,433,394,448,483
2022-01-30,440,397,442,422,364,405,509,484,357,371,277,351,383,416,437,457,396,425,404,255
2022-01-31,380,494,444,455,345,478,547,398,409,415,384,379,372,513,416,475,339,448,492,409
2022-02-01,368,562,531,494,405,386,541,516,588,427,460,456,339,382,516,762,588,531,406,341
2022-02-02,697,737,471,743,478,479,709,389,696,538,718,239,421,385,552,496,759,450,378,411
2022-02-03,341,559,503,649,518,684,436,513,677,486,688,468,692,463,605,482,387,366,459,555
2022-02-04,761,430,463,571,403,374,441,321,492,605,592,466,403,483,438,637,383,491,468,535
2022-02-05,536,620,584,509,710,520,429,497,505,490,509,439,485,487,275,587,399,519,555,430
2022-02-06,543,529,336,636,416,501,454,580,648,326,436,343,485,400,500,425,482,357,523,378
2022-02-07,520,379,588,562,407,381,473,463,633,379,645,374,380,487,574,387,371,424,599,446
2022-02-08,414,762,649,459,516,575,535,541,435,374,834,480,473,344,572,417,464,361,441,428
2022-02-09,566,551,737,634,550,592,503,425,585,527,871,338,378,500,418,729,602,429,438,326
2022-02-10,345,821,457,516,658,625,453,480,339,590,557,505,438,542,387,351,365,404,370,558
2022-02-11,467,840,477,485,355,458,569,432,498,635,561,366,311,364,480,505,382,551,492,387
2022-02-12,500,638,493,524,521,427,834,328,521,446,598,353,633,462,543,465,354,355,402,521
2022-02-13,474,592,492,239,557,430,514,390,330,482,386,520,507,362,507,371,348,464,418,263
2022-02-14,397,798,468,420,639,393,586,519,533,450,584,359,606,523,567,702,365,310,472,482
2022-02-15,543,537,494,275,409,631,432,448,657,538,530,571,435,511,349,246,387,432,507,521
2022-02-16,635,397,498,300,540,579,471,305,636,487,638,328,471,540,551,759,342,488,425,410
2022-02-17,481,583,578,398,563,770,399,409,601,348,437,313,611,407,503,328,329,370,469,531
2022-02-18,472,424,449,330,492,434,569,481,452,472,490,418,652,603,548,420,693,538,408,672
2022-02-19,564,523,438,300,527,629,565,537,526,742,460,419,524,479,676,418,666,547,435,278
2022-02-20,456,372,561,513,482,378,703,522,547,428,398,356,484,389,565,364,472,625,488,380
2022-02-21,574,547,457,398,551,467,388,631,520,403,551,345,775,376,356,451,286,429,360,377
2022-02-22,456,397,391,235,621,348,469,411,443,346,407,307,537,463,477,743,447,458,545,360
2022-02-23,594,461,389,753,601,669,450,505,584,349,476,468,590,665,335,290,443,504,528,345
2022-02-24,486,555,380,465,526,374,421,324,490,278,533,373,668,337,503,369,417,318,522,601
2022-02-25,492,533,525,350,509,490,391,498,511,219,415,535,611,383,430,472,294,510,303,429
2022-02-26,374,504,416,622,420,476,543,529,467,407,537,372,720,489,380,489,340,540,466,276
2022-02-27,574,413,427,581,520,651,565,478,519,569,337,459,682,471,382,688,585,503,290,346
2022-02-28,472,412,464,437,480,453,686,412,429,543,442,336,545,447,415,279,476,348,503,372
2022-03-01,521,667,410,460,728,508,618,527,497,291,407,510,678,613,451,322,463,469,589,321
