epidemic_days,date,model,forecast
0,2024-01-03,ARIMAX,9387.610573817556
0,2024-01-04,ARIMAX,9270.727225745371
0,2024-01-05,ARIMAX,10731.697930271863
0,2024-01-06,ARIMAX,9594.76864088925
0,2024-01-07,ARIMAX,9270.727225745371
0,2024-01-08,ARIMAX,9900.98999043717
0,2024-01-09,ARIMAX,9030.548064514936
0,2024-01-10,ARIMAX,8997.526970356193
0,2024-01-11,ARIMAX,9543.92748113455
0,2024-01-12,ARIMAX,9416.23738623794
0,2024-01-13,ARIMAX,10079.52124508848
0,2024-01-14,ARIMAX,8858.729701792425
0,2024-01-15,ARIMAX,9383.216292079198
0,2024-01-16,ARIMAX,9347.876587730014
0,2024-01-17,ARIMAX,9281.83439941253
0,2024-01-18,ARIMAX,9856.86172261127
0,2024-01-19,ARIMAX,8880.64362228401
0,2024-01-20,ARIMAX,10687.569662445962
0,2024-01-21,ARIMAX,9314.855493571271
0,2024-01-22,ARIMAX,10068.41407142132
0,2024-01-23,ARIMAX,8891.750795951168
0,2024-01-24,ARIMAX,9872.363178016787
0,2024-01-25,ARIMAX,10202.817058246732
0,2024-01-26,ARIMAX,9689.437641627117
0,2024-01-27,ARIMAX,9693.831923365475
0,2024-01-28,ARIMAX,9806.320989699303
0,2024-01-29,ARIMAX,8708.8252595615
0,2024-01-30,ARIMAX,8351.762750258878
0,2024-01-03,LightGBM,9450.45175634821
0,2024-01-04,LightGBM,9265.57613399632
0,2024-01-05,LightGBM,10866.439600715192
0,2024-01-06,LightGBM,9684.383826229925
0,2024-01-07,LightGBM,9230.748781988967
0,2024-01-08,LightGBM,9953.543248915927
0,2024-01-09,LightGBM,8988.168654000427
0,2024-01-10,LightGBM,8985.550452636071
0,2024-01-11,LightGBM,9504.455275650607
0,2024-01-12,LightGBM,9472.839356931234
0,2024-01-13,LightGBM,10154.045200815248
0,2024-01-14,LightGBM,8845.257177690444
0,2024-01-15,LightGBM,9441.196455630146
0,2024-01-16,LightGBM,9356.013928314549
0,2024-01-17,LightGBM,9316.014045332557
0,2024-01-18,LightGBM,9876.795846088538
0,2024-01-19,LightGBM,8811.897764716714
0,2024-01-20,LightGBM,10927.129979471745
0,2024-01-21,LightGBM,9381.249199208765
0,2024-01-22,LightGBM,10084.779676833938
0,2024-01-23,LightGBM,8879.929144308184
0,2024-01-24,LightGBM,9857.000931034218
0,2024-01-25,LightGBM,10231.260383316443
0,2024-01-26,LightGBM,9670.469514933777
0,2024-01-27,LightGBM,9612.164261415037
0,2024-01-28,LightGBM,9838.40453598746
